iter	Passed	Remaining
0	20	5350
1	39	5143
2	52	4535
3	68	4364
4	83	4283
5	100	4252
6	113	4115
7	129	4073
8	141	3958
9	160	4000
10	176	3988
11	190	3930
12	206	3923
13	219	3857
14	234	3831
15	249	3804
16	265	3791
17	281	3785
18	296	3762
19	311	3742
20	325	3709
21	341	3690
22	353	3645
23	366	3607
24	381	3589
25	401	3610
26	418	3608
27	433	3594
28	452	3605
29	469	3600
30	485	3588
31	499	3558
32	512	3528
33	532	3538
34	548	3523
35	563	3505
36	578	3485
37	592	3459
38	604	3424
39	616	3389
40	636	3397
41	651	3379
42	667	3366
43	679	3333
44	691	3304
45	705	3282
46	719	3262
47	737	3258
48	752	3238
49	764	3211
50	777	3185
51	796	3186
52	808	3158
53	823	3142
54	837	3121
55	850	3097
56	863	3075
57	878	3059
58	895	3052
59	913	3044
60	934	3047
61	952	3040
62	970	3034
63	986	3020
64	1000	3002
65	1015	2984
66	1029	2964
67	1044	2949
68	1060	2936
69	1074	2915
70	1087	2894
71	1102	2879
72	1118	2864
73	1132	2846
74	1145	2825
75	1159	2807
76	1175	2793
77	1190	2777
78	1202	2754
79	1216	2737
80	1228	2715
81	1244	2702
82	1257	2682
83	1269	2660
84	1281	2638
85	1293	2616
86	1305	2596
87	1317	2575
88	1331	2557
89	1346	2542
90	1357	2521
91	1372	2506
92	1388	2492
93	1402	2476
94	1416	2459
95	1431	2444
96	1447	2432
97	1463	2418
98	1480	2407
99	1496	2394
100	1511	2379
101	1524	2360
102	1539	2346
103	1551	2327
104	1567	2313
105	1578	2293
106	1591	2275
107	1603	2257
108	1618	2242
109	1633	2227
110	1645	2208
111	1661	2195
112	1675	2179
113	1688	2162
114	1701	2145
115	1713	2127
116	1725	2108
117	1743	2097
118	1757	2081
119	1778	2075
120	1792	2059
121	1804	2041
122	1815	2021
123	1827	2004
124	1841	1989
125	1854	1972
126	1864	1952
127	1877	1936
128	1892	1921
129	1906	1906
130	1919	1889
131	1931	1873
132	1946	1858
133	1961	1844
134	1976	1830
135	1988	1813
136	2001	1797
137	2020	1785
138	2034	1770
139	2049	1756
140	2065	1742
141	2084	1732
142	2096	1715
143	2112	1701
144	2126	1686
145	2139	1670
146	2150	1653
147	2164	1638
148	2176	1621
149	2190	1606
150	2203	1590
151	2213	1572
152	2228	1558
153	2243	1543
154	2260	1531
155	2275	1517
156	2289	1502
157	2302	1486
158	2315	1471
159	2327	1454
160	2339	1438
161	2350	1422
162	2361	1405
163	2373	1389
164	2386	1373
165	2404	1361
