id,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
1,10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0
2,6,329.08,1,1,Rural,1,Web,No Offer,0
3,7,180.65,0,1,Surburban,1,Web,Buy One Get One,0
4,9,675.83,1,0,Rural,1,Web,Discount,0
5,2,45.34,1,0,Urban,0,Web,Buy One Get One,0
6,6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1
7,9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0
8,9,46.42,0,1,Urban,0,Phone,Buy One Get One,0
9,9,675.07,1,1,Rural,1,Phone,Discount,0
10,10,32.84,0,1,Urban,1,Web,Buy One Get One,0
11,7,548.91,0,1,Urban,1,Phone,Buy One Get One,1
12,1,211.45,0,1,Urban,1,Phone,Buy One Get One,0
13,5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0
14,2,101.64,0,1,Urban,0,Web,Discount,1
15,4,241.42,0,1,Rural,1,Multichannel,No Offer,0
16,3,58.13,1,0,Urban,1,Web,No Offer,1
17,5,29.99,1,0,Surburban,0,Phone,Discount,0
18,9,112.35,1,0,Rural,0,Web,Discount,0
19,11,219.04,1,1,Surburban,0,Phone,Discount,0
20,5,828.42,1,0,Surburban,1,Multichannel,Discount,0
21,9,29.99,0,1,Surburban,1,Phone,No Offer,0
22,11,182.32,1,0,Surburban,0,Phone,Discount,0
23,2,118.4,1,0,Surburban,0,Web,Discount,1
24,2,29.99,0,1,Urban,1,Phone,No Offer,0
25,4,78.24,1,0,Surburban,0,Web,No Offer,0
26,6,139.87,0,1,Rural,1,Web,Discount,0
27,12,115.39,0,1,Surburban,0,Phone,Discount,1
28,6,162.98,0,1,Surburban,0,Web,Discount,0
29,7,435.73,0,1,Urban,1,Web,No Offer,0
30,2,203.35,1,0,Rural,0,Web,No Offer,0
31,2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0
32,9,334.24,1,0,Urban,0,Web,Discount,0
33,6,128.01,0,1,Urban,0,Web,Discount,0
34,9,29.99,1,0,Surburban,1,Phone,Discount,0
35,3,29.99,1,0,Rural,0,Web,Buy One Get One,0
36,4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0
37,1,514.52,0,1,Surburban,1,Web,Discount,0
38,4,766.47,1,1,Urban,1,Multichannel,Discount,0
39,10,63.79,1,0,Rural,1,Phone,Buy One Get One,0
40,7,520.43,0,1,Surburban,1,Web,Discount,0
